record_number,title,doi,retrieval_status,extraction_status,farmed_species,study_system_code,study_system_subcode,study_system_detail,geography,study_objective,paper_type,evidence_generation,study_approach,study_method,study_context,life_stage,fish_origin,facility_code,facility_detail,temporal_scope,study_unit,focal_factor_code,focal_factor_detail,comparison_type,comparison_detail,study_outcome_code,study_outcome_subcode,study_outcome_detail,evidence_section,evidence_passage,extraction_confidence,review_required,new_code_candidate,new_code_parent,new_code_label,full_text_url,retrieval_attempts,last_checked,full_text_source,full_text_verified,extraction_source_section,extraction_evidence,audit_status,audit_notes
73814,"Susceptibility, behaviour and retention of the parasitic salmon louse (Lepeophtheirus salmonis) differ with Atlantic salmon population origin",10.1111/jfd.12707,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,laboratory_aquaculture,"common-garden experimental tanks at Matre Research Station",Norway,"Describe variation among five salmon genetic origins in susceptibility to salmon lice, antiparasite behaviour and parasite retention",empirical_research,empirical,quantitative,experiment,adult/juvenile salmon,domesticated;wild anadromous;wild landlocked;genetically modified domesticated,laboratory_tank,"four 3-m experimental tanks",34 days post infestation,individual_fish,genetic_origin,"five Atlantic salmon population/genetic origins",system_comparison,"wild anadromous, wild landlocked, domesticated, experienced/naive domesticated and gene-edited albino/mosaic groups",health_disease,parasite_infestation;behaviour,"lice density, parasite retention, jumping, twitching, burst swimming and displacement",methods;results,"Five Atlantic salmon stocks were raised in the same tank environment and challenged with approximately 36 copepodids per fish; parasite load and behaviour were assessed at 3 and 34 days post infestation.",high,false,false,,,,https://www.researchgate.net/publication/319882283_Susceptibility_behaviour_and_retention_of_the_parasitic_salmon_louse_Lepeophtheirus_salmonis_differ_with_Atlantic_salmon_population_origin,"ResearchGate public full-text PDF; exact-title/DOI search",2026-08-18,ResearchGate,true,Methods;Results,"Full text specifies stock origins, common-garden conditions, infestation procedure, behavioural recording and parasite assessment.",audited,"Full text verified"
80468,"Measurement of fish size in atlantic salmon (salmo salar l.) cages using stereographic video techniques",10.1016/S0144-8609(97)00012-5,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0144860997000125,"ScienceDirect article/abstract route; exact-title searches; no verified complete article",2026-08-18,,false,,,audited,"Publisher exposes abstract and article metadata but no verified complete full text; no extraction"
76408,"Transcriptome Analyses Reveal Lipid Metabolic Process in Liver Related to the Difference of Carcass Fat Content in Rainbow Trout (Oncorhynchus mykiss)",10.1155/2016/7281585,obtained,extracted,"rainbow trout (Oncorhynchus mykiss)",aquaculture_production_system,laboratory_aquaculture,"rainbow trout groups classified by high versus low carcass fat content",China,"Identify liver transcriptional differences associated with high and low carcass fat content in rainbow trout",empirical_research,empirical,quantitative,comparative_omics,juvenile/adult,experimental_stock,laboratory_aquaculture,"fish breeding/rearing facility",sampling at carcass-fat classification,fish_group,phenotype,"high versus low carcass fat content",system_comparison,"high-fat versus low-fat fish groups",production,lipid_metabolism;genetics,"1,694 differentially expressed transcripts; lipid metabolic genes including L-FABP, adiponectin, PPAR-alpha, PPAR-beta and IGFBP1a",methods;results;conclusion,"RNA-seq of liver tissue from rainbow trout with high and low carcass fat content identified 1,694 differentially expressed transcripts; results implicated hepatic lipid metabolism.",high,false,false,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5019904/;https://pdfs.semanticscholar.org/5482/68cd86c5b4e924822642ffd230023e273241.pdf,"PMC open access; Semantic Scholar PDF; PubMed",2026-08-18,PMC/Semantic Scholar,true,Methods;Results;Conclusion,"Full article reports RNA-seq, real-time RT-PCR confirmation and differential expression analyses.",audited,"Full text verified"
82667,"A Serving of Farmed Salmon: How the Risks Outweigh the Benefits for Norwegians",,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/thesalmonandthetomato/fulltexttest,"Exact-title searches; no verified article/report full text located",2026-08-18,,false,,,audited,"No verified full text; no extraction"
72646,"Marine fungi isolated from Chilean fjord sediments can degrade oxytetracycline",10.1007/s10661-016-5475-0,obtained,extracted,"farmed Atlantic salmon context; marine fungi",aquaculture_production_system,marine_sediment,"marine fjord sediments associated with salmon-farming activity",Southern Chile,"Assess whether endemic marine fungi isolated from salmon-farming fjord sediments can biodegrade oxytetracycline",empirical_research,empirical,quantitative,experiment,laboratory_isolates,environmental_samples,marine_sediment,"culture media degradation assays",21 days, fungal_strain,antibiotic_exposure,"oxytetracycline degradation",dose_time_gradient,"fungal strains versus controls across 0, 2, 6, 10, 15 and 21 days",environmental,antibiotic_degradation,"percentage reduction in oxytetracycline concentration",methods;results,"Five fungal strains isolated from sediments in a fish-farming area were identified and tested for oxytetracycline degradation; after 21 days reductions ranged from 72% to 92% and exceeded controls.",high,false,false,,,,https://www.scielo.cl/scielo.php?pid=S0718-19572016000300010&script=sci_arttext;https://www.researchgate.net/publication/305345065_Marine_fungi_isolated_from_Chilean_fjord_sediments_can_degrade_oxytetracycline,"SciELO full text; ResearchGate full-text record; exact-title search",2026-08-18,SciELO/ResearchGate,true,Methods;Results,"Full text identifies fungal strains, sampling context, experimental time points and degradation outcomes.",audited,"Full text verified"
75525,"CD10+ Cells and IgM in Pathogen Response in Lumpfish (Cyclopterus lumpus) Eye Tissues",10.3389/fimmu.2020.576897,obtained,extracted,"lumpfish (Cyclopterus lumpus)",aquaculture_production_system,laboratory_aquaculture,"wild lumpfish with natural infection and cultured lumpfish with experimental infection",Canada,"Characterise lumpfish ocular immune responses to natural myxozoan infection and experimental Vibrio anguillarum infection",empirical_research,empirical,quantitative,comparative_infection_study,adult;juvenile,wild_and_cultured,laboratory_tank,"cultured lumpfish infection system",infection observation and experimental challenge,individual_fish;eye_tissue,pathogen_exposure,"natural myxozoan infection versus experimental Vibrio anguillarum infection and controls",system_comparison,"infected versus uninfected ocular tissues and natural versus experimental infection",health_disease,immune_response,"CD10 and IgM expression, cellular infiltration, exophthalmos and retinal tissue changes",methods;results;discussion,"The study examined ocular tissues from wild lumpfish with natural myxozoan cysts and cultured lumpfish experimentally infected with V. anguillarum, identifying CD10+ and IgM+ cellular responses.",high,false,false,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7714965/;https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2020.576897/full,"PMC; Frontiers full text; ResearchGate full-text PDF",2026-08-18,PMC/Frontiers,true,Methods;Results,"Full article includes natural and experimental infection methods, immunohistochemistry and ocular pathology results.",audited,"Full text verified"
81909,"The Ecological Embeddedness of Global Production Networks: Salmon Aquaculture and Palm Oil",,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ivey.uwo.ca/sustainability/for-researchers/phd-academy/past-academies/2015/participants/christopher-r-whynacht/,"Exact-title searches; author summary located but not complete paper; related dissertation is not substituted",2026-08-18,,false,,,audited,"Conceptual summary available but no verified complete paper; no extraction"
82413,"Certification Issues for Some Common Aquaculture Species",10.1080/10641260500326867,obtained,extracted,"rainbow trout; channel catfish; tilapia; oysters; mussels; clams; scallops; abalone; seaweed",aquaculture_production_system,multiple_aquaculture_systems,"certification of aquaculture production systems",global,"Identify environmental, social and food-safety issues relevant to certification standards for common aquaculture species",review_synthesis,secondary_review,narrative_review,documentary_literature,multiple,multiple,multiple_aquaculture,"production facilities and supply chains",review period,production_system,certification,"certification standards and contentious issues",system_comparison,"species/species groups and their certification issues",environmental;social_governance;food_safety,certification;environmental_impact;social_impact,"land and water use, pollution, benthic effects, biodiversity, antibiotics/chemicals, workers and local communities",introduction;review_sections;conclusion,"The review identifies certification issues for multiple aquaculture species, including rainbow trout, covering environmental, social and food-safety concerns.",high,false,false,,,,https://www.researchgate.net/publication/233362891_Certification_Issues_for_Some_Common_Aquaculture_Species,"ResearchGate public full-text PDF; exact-title/DOI search",2026-08-18,ResearchGate,true,Full text,"Complete review PDF is available and provides species-specific and common certification issues.",audited,"Full text verified"
82707,"Breeding Performances Recorded in Rainbow Trout (Oncorhynchus Mykiss) Bred into Improved Closed Space Tanks",,obtained,extracted,"rainbow trout (Oncorhynchus mykiss)",aquaculture_production_system,closed_tank,"improved closed-space intensive trout tanks",Romania,"Assess breeding performance of rainbow trout in improved closed-space tanks",empirical_research,empirical,quantitative,observational_monitoring,juvenile/adult,commercial_stock,closed_tank,"super-intensive aquaculture system",breeding/rearing period,fish_group,facility_system,"improved closed-space tanks",not_applicable,"single production system study",production,growth;breeding_performance,"breeding and production performance under intensive tank conditions",methods;results,"The paper reports rainbow trout breeding performance in improved closed-space tanks as part of Romanian super-intensive aquaculture development.",medium,true,false,,,,https://editura.bioflux.com.ro/docs/petrescu-mag.i.v/2008%2C%20Bulletin%20UASVM%20Animal%20Science%20and%20Biotechnologies%2C%20Vol.65%2C%20283-287.pdf,"Bioflux full-text PDF; exact-title search",2026-08-18,Bioflux PDF,true,Methods;Results,"Full PDF is available; extraction is flagged for review because some experimental details are not yet reliably parsed from the available indexed text.",audited,"Full text verified; human review recommended"
73451,"A dominant firm model of price determination in the US fresh salmon market: 1985—88",10.1080/00036849300000128,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tandfonline.com/doi/abs/10.1080/00036849300000128,"Taylor & Francis article page and PDF route; access restriction; exact-title searches",2026-08-18,,false,,,audited,"Abstract and PDF listing located but complete article not verified; no extraction"
